Year,County,PSI,PSIDescription,Count,Population,ObsRate
2012,Mendocino,21,Retained Surgical Item or Unretrieved Device Fragment,1,68344,1.46
2013,Mendocino,21,Retained Surgical Item or Unretrieved Device Fragment,1,68379,1.46
2014,Mendocino,21,Retained Surgical Item or Unretrieved Device Fragment,1,69334,1.44
2015,Mendocino,21,Retained Surgical Item or Unretrieved Device Fragment,1,51516,1.94
2005,Merced,21,Retained Surgical Item or Unretrieved Device Fragment,6,162795,3.69
2006,Merced,21,Retained Surgical Item or Unretrieved Device Fragment,3,165009,1.82
2007,Merced,21,Retained Surgical Item or Unretrieved Device Fragment,2,167724,1.19
2008,Merced,21,Retained Surgical Item or Unretrieved Device Fragment,2,169736,1.18
2009,Merced,21,Retained Surgical Item or Unretrieved Device Fragment,4,171809,2.33
2010,Merced,21,Retained Surgical Item or Unretrieved Device Fragment,0,175232,0
2011,Merced,21,Retained Surgical Item or Unretrieved Device Fragment,4,178783,2.24
2012,Merced,21,Retained Surgical Item or Unretrieved Device Fragment,3,174274,1.72
2013,Merced,21,Retained Surgical Item or Unretrieved Device Fragment,2,176084,1.14
2014,Merced,21,Retained Surgical Item or Unretrieved Device Fragment,3,184892,1.62
2015,Merced,21,Retained Surgical Item or Unretrieved Device Fragment,1,133727,0.75
2005,Modoc,21,Retained Surgical Item or Unretrieved Device Fragment,0,7407,0
2006,Modoc,21,Retained Surgical Item or Unretrieved Device Fragment,0,7461,0
2007,Modoc,21,Retained Surgical Item or Unretrieved Device Fragment,0,7429,0
2008,Modoc,21,Retained Surgical Item or Unretrieved Device Fragment,0,7469,0
2009,Modoc,21,Retained Surgical Item or Unretrieved Device Fragment,0,7565,0
2010,Modoc,21,Retained Surgical Item or Unretrieved Device Fragment,0,7599,0
2011,Modoc,21,Retained Surgical Item or Unretrieved Device Fragment,0,7517,0
2012,Modoc,21,Retained Surgical Item or Unretrieved Device Fragment,0,9249,0
2013,Modoc,21,Retained Surgical Item or Unretrieved Device Fragment,0,9141,0
2014,Modoc,21,Retained Surgical Item or Unretrieved Device Fragment,0,8570,0
2015,Modoc,21,Retained Surgical Item or Unretrieved Device Fragment,0,7417,0
2005,Mono,21,Retained Surgical Item or Unretrieved Device Fragment,0,10514,0
2006,Mono,21,Retained Surgical Item or Unretrieved Device Fragment,0,10747,0
2007,Mono,21,Retained Surgical Item or Unretrieved Device Fragment,0,10719,0
2008,Mono,21,Retained Surgical Item or Unretrieved Device Fragment,1,10892,9.18
2009,Mono,21,Retained Surgical Item or Unretrieved Device Fragment,0,11055,0
2010,Mono,21,Retained Surgical Item or Unretrieved Device Fragment,0,11224,0
2011,Mono,21,Retained Surgical Item or Unretrieved Device Fragment,0,11294,0
2012,Mono,21,Retained Surgical Item or Unretrieved Device Fragment,0,13186,0
2013,Mono,21,Retained Surgical Item or Unretrieved Device Fragment,0,12990,0
2014,Mono,21,Retained Surgical Item or Unretrieved Device Fragment,0,12503,0
2015,Mono,21,Retained Surgical Item or Unretrieved Device Fragment,0,10444,0
2005,Monterey,21,Retained Surgical Item or Unretrieved Device Fragment,3,294634,1.02
2006,Monterey,21,Retained Surgical Item or Unretrieved Device Fragment,1,292832,0.34
2007,Monterey,21,Retained Surgical Item or Unretrieved Device Fragment,4,293684,1.36
2008,Monterey,21,Retained Surgical Item or Unretrieved Device Fragment,7,296155,2.36
2009,Monterey,21,Retained Surgical Item or Unretrieved Device Fragment,11,299502,3.67
2010,Monterey,21,Retained Surgical Item or Unretrieved Device Fragment,3,304351,0.99
2011,Monterey,21,Retained Surgical Item or Unretrieved Device Fragment,4,308056,1.3
2012,Monterey,21,Retained Surgical Item or Unretrieved Device Fragment,5,301958,1.66
2013,Monterey,21,Retained Surgical Item or Unretrieved Device Fragment,6,304287,1.97
2014,Monterey,21,Retained Surgical Item or Unretrieved Device Fragment,1,305907,0.33
2015,Monterey,21,Retained Surgical Item or Unretrieved Device Fragment,2,229305,0.87
2005,Napa,21,Retained Surgical Item or Unretrieved Device Fragment,3,99628,3.01
2006,Napa,21,Retained Surgical Item or Unretrieved Device Fragment,4,100569,3.98
2007,Napa,21,Retained Surgical Item or Unretrieved Device Fragment,2,101701,1.97
2008,Napa,21,Retained Surgical Item or Unretrieved Device Fragment,5,102958,4.86
2009,Napa,21,Retained Surgical Item or Unretrieved Device Fragment,0,103909,0
2010,Napa,21,Retained Surgical Item or Unretrieved Device Fragment,1,105302,0.95
2011,Napa,21,Retained Surgical Item or Unretrieved Device Fragment,1,106488,0.94
2012,Napa,21,Retained Surgical Item or Unretrieved Device Fragment,2,106095,1.89
2013,Napa,21,Retained Surgical Item or Unretrieved Device Fragment,3,107433,2.79
2014,Napa,21,Retained Surgical Item or Unretrieved Device Fragment,1,108610,0.92
2015,Napa,21,Retained Surgical Item or Unretrieved Device Fragment,1,82361,1.21
2005,Nevada,21,Retained Surgical Item or Unretrieved Device Fragment,2,77111,2.59
2006,Nevada,21,Retained Surgical Item or Unretrieved Device Fragment,2,77728,2.57
2007,Nevada,21,Retained Surgical Item or Unretrieved Device Fragment,2,78179,2.56
2008,Nevada,21,Retained Surgical Item or Unretrieved Device Fragment,0,78803,0
2009,Nevada,21,Retained Surgical Item or Unretrieved Device Fragment,1,79505,1.26
2010,Nevada,21,Retained Surgical Item or Unretrieved Device Fragment,0,80097,0
2011,Nevada,21,Retained Surgical Item or Unretrieved Device Fragment,2,80389,2.49
2012,Nevada,21,Retained Surgical Item or Unretrieved Device Fragment,1,80329,1.24
2013,Nevada,21,Retained Surgical Item or Unretrieved Device Fragment,0,80699,0
2014,Nevada,21,Retained Surgical Item or Unretrieved Device Fragment,0,82513,0
2015,Nevada,21,Retained Surgical Item or Unretrieved Device Fragment,1,61125,1.64
2005,Orange,21,Retained Surgical Item or Unretrieved Device Fragment,21,2180617,0.96
2006,Orange,21,Retained Surgical Item or Unretrieved Device Fragment,28,2185121,1.28
2007,Orange,21,Retained Surgical Item or Unretrieved Device Fragment,30,2194736,1.37
2008,Orange,21,Retained Surgical Item or Unretrieved Device Fragment,24,2219901,1.08
2009,Orange,21,Retained Surgical Item or Unretrieved Device Fragment,20,2249031,0.89
2010,Orange,21,Retained Surgical Item or Unretrieved Device Fragment,27,2279215,1.18
